prompt,audio_url_a,audio_url_b,model_a,model_b,is_attention_check
"The low quality recording features a quiet bowl resonating sounds and even though the recording is so noisy and in mono, it is still calming.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/_6C2ffY_-mc_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/_6C2ffY_-mc_seg2.wav,SASS,TF-MusicGen,FALSE
A male beatboxer creates a cool groove with animated sounds like grunting and mouth percussion. The song is medium tempo with no other instrumentation. The song is energetic and passionate. The song has bad audio quality.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/kZPz8ExTzBk_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/kZPz8ExTzBk_seg2.wav,TF-MusicGen,SASS,FALSE
"The Regional Mexican song features a passionate male vocal singing over repetitive acoustic guitar chord and groovy bass, after which there are shimmering shakers and accordion melody playing. It sounds passionate, emotional and soulful.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/wt-f7K_suBc_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/wt-f7K_suBc_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a traditional song that consists of passionate female vocal singing over sustained string melody, wobble bass, wooden percussive elements and shimmering shakers. It is a bit noisy, in mono and it sounds vintage, passionate, emotional and soulful.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/7_Sr2zv1sQc_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/7_Sr2zv1sQc_seg2.wav,TF-MusicGen,SASS,FALSE
This is an electronic music piece with characteristics of the German industrial scene. A sharp synth is playing the main theme while there is a faint high-pitched pad in the background. A transition effect is used before the drum beat starts. The rhythmic background is provided by a medium tempo electronic drum beat. There is an eerie atmosphere to this piece. It could be used in the soundtrack of a dystopian-future themed movie or a video game.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/brEMnFXsTqo_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/brEMnFXsTqo_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a live performance of a folk/country song that consists of flat female vocal singing over smooth double bass, groovy acoustic rhythm guitar, violins melody and groovy snare rhythm. It sounds a bit noisy and roomy, as it was probably recorded with a stereo microphone technique, but also energetic, uptempo and groovy.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/P25JeM4lPGw_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/P25JeM4lPGw_seg2.wav,SASS,TF-MusicGen,FALSE
"Solo sitar using microtonality, droning and string bending. The music is hypnotic and meditative and there is the sound of tape hiss and warble in the recording.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/feC0L9MtghM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/feC0L9MtghM_seg2.wav,TF-MusicGen,SASS,FALSE
"This is a Christian rock piece. There is a male vocalist in the lead singing gently and melodically. A mild-tempered electric guitar is playing the main theme. There is a bass guitar holding the root notes. The rhythmic background is provided by the acoustic drums. This song has a mellow and hopeful atmosphere. Due to being religious in nature, this piece could be played in the background of Christian religious content. It could also be played at Christian religious events.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/vvfs2TUj-D4_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/vvfs2TUj-D4_seg2.wav,SASS,TF-MusicGen,FALSE
The song is an instrumental. The song is medium tempo with an electric guitar playing a pleasant solo with a pedal affecting its tone. The song is a guitar effects demo. The song audio quality is poor.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/W58kioYp1Ms_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/W58kioYp1Ms_seg2.wav,SASS,TF-MusicGen,FALSE
"The song is instrumental music. The song is medium tempo with just a piano playing pensively and no other instrumentation. The song is emotional and poignant. The song is a western classical masterpiece, but with bad audio quality issues.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/1WlvXneu6oY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/1WlvXneu6oY_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a rock song that contains filtered female vocal singing over loud and harsh electric guitar chords, energetic drums and buzzy bass guitar. It sounds chaotic due to the bad mix and since the drums are panned in an unconventional way - making the stereo image unbalanced. It sounds harsh, but also energetic.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/uAgizG1hYw0_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/uAgizG1hYw0_seg2.wav,TF-MusicGen,SASS,FALSE
This is an instrumental jam recording of a gear showcase. There is an electric guitar with a clear sound being played with an echo pedal. It gives the recording a dreamy feeling. This track can be used to lift guitar samples with effect for a beat.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/-w8maIWtnUk_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/-w8maIWtnUk_seg2.wav,TF-MusicGen,SASS,FALSE
This is a latin pop song with a chipmunk effect. There is a female and a male vocal singing melodically but at a higher pitch than the original. An acoustic guitar and a bass guitar play in the melodic background while a latin electronic drum beat is in the rhythmic background. The piece is very danceable. The piece could be used at a children's dancing course as an accompaniment. It could also be used in the background of funny social media content.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/mLaon9oK1OA_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/mLaon9oK1OA_seg2.wav,TF-MusicGen,SASS,FALSE
The song is an instrumental. The tempo is medium with the glass harp being played percussively by two glass harpists with no other instrumentation . The song is mysterious and ethereal in nature.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/QdoTdG_VNV4_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/QdoTdG_VNV4_seg2.wav,TF-MusicGen,SASS,FALSE
"The rock and roll music features a male voice singing a melody and at times singing in unison with a male backing voice. The band that accompanies the singer consists of a drum kit playing a light and simple rhythm, a bass guitar that plays in the style of walking bass, and a section of saxophones. On top of this recording one can hear a rattle that sounds close to a baby shaker toy. The recording quality is not that good, which leads me to believe it's an amateur phone recording of a speaker playing the song.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/Xxe6vTEwFvs_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/Xxe6vTEwFvs_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features an alternative/indie song that consists of monotone male vocal singing over fat snare, energetic cymbals, energetic wide synth bass, punchy kick, reverberant synth bells melody and high pitched vocals. The instrumental is a bit pulsating as the kick comes in - almost like it was sidechained to it. It sounds energetic and sad.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/sgVqMKtUMsA_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/sgVqMKtUMsA_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a plucked melody and groovy bass playing in the background and shimmering shakers and kids talking sound in the front. The recording is very noisy, as it was probably recorded with an old phone. It gives off happy and fun vibes.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/APUDprnfOIs_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/APUDprnfOIs_seg2.wav,TF-MusicGen,SASS,FALSE
"This song starts with a descending phrase played on a synth. This is followed by an ascending phrase on another synth. This is accompanied by simple programmed percussion playing the hi-hat on the first two counts and the fourth count of each bar. The snare is played on the third count of each bar. After four bars, the percussion plays a roll and the bass plays one note two times. The synth sounds in the background get louder when the roll is played. There are no voices in this song. This song can be played in a night club.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/OyRtTtTSXuM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/OyRtTtTSXuM_seg2.wav,TF-MusicGen,SASS,FALSE
"A female vocalist sings this pop song. The tempo is fast with vigorous percussion in the background , funky bass line, an incessant keyboard harmony and guitar. The vocals and instrumentation are incoherent as the audio quality is bad. The is sound of static, murmuring, buzzing,hissing and  scuffling indicating that this is a recording of a live performance.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/5MOJnA715fA_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/5MOJnA715fA_seg2.wav,TF-MusicGen,SASS,FALSE
"The rock song features a fruity male vocal with occasional echoing effects, singing over punchy kick and snare hits, energetic cymbals, wide electric guitar melody and distorted bass guitar. Towards the end of the loop, there is a stuttering effect, which makes a perfect variation for such an energetic and aggressive song. It also sounds addictive, due to that cadence.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/OSlotCnSFow_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/OSlotCnSFow_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a hip hop song, that consists of flat male vocal rapping over widely spread shimmering bells, punchy kicks and claps, playing in the background. Right before the beat drops there is a short flat female vocal. There are some people talking to each other, while one of them is yelling. It sounds noisy and haunting and energetic thanks to the song.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/OvX68hqDjeA_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/OvX68hqDjeA_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a flat male talking, after which there are harmonizing clarinet melodies playing. It sounds soulful and the recording is in mono and noisy.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/k6F3gc8f8kI_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/k6F3gc8f8kI_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording a boomy steel guitar being aggressively strummed. The recording is noisy, reverberant and it sounds muddy, but regardless, the melody is addictive.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/HU7oqkJeItQ_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/HU7oqkJeItQ_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a flat male vocal talking, after which an accordion melody starts playing. It sounds joyful and happy, even though the recording is noisy.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/s72505MIhz8_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/s72505MIhz8_seg2.wav,TF-MusicGen,SASS,FALSE
"A jazz organ trio playing a swing blues song with a male singer accompanied by electric guitar, Hammond organ, a steady ride pattern on the cymbals. The whole band hits on beat one with the drum breaks, as is common in this style of music.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/CD3OyaDW348_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/CD3OyaDW348_seg2.wav,SASS,TF-MusicGen,FALSE
"The Rock song features a shimmering hi hats, energetic crash cymbal, punchy kick and snare hits, groovy bass guitar and wide electric guitars melodies playing on top of them. It sounds energetic and exciting.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/xk4U8BembHM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/xk4U8BembHM_seg2.wav,TF-MusicGen,SASS,FALSE
"The music features a timid boy voice singing a melody. Right in the opening of the music excerpt, before the boy starts to sing, an accordion can be heard playing a short melody. A band that consists of drums, bass guitar and electric guitar is accompanying the boy. Listening to the electric guitar, I get country music vibes.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/0m9-5BkL4Mc_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/0m9-5BkL4Mc_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a cover of a pop song and it consists of passionate male vocals, alongside harmonizing background vocals, singing over wide, arpeggiated electric guitar melody and simple bass guitar. The recording is a bit noisy, but it is barely audible, especially when you take into account that it sounds very emotional.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/4CrPPlHN9_s_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/4CrPPlHN9_s_seg2.wav,TF-MusicGen,SASS,FALSE
"This music is a pleasant instrumental. The music is slow tempo with a soft cello and guitar duet with a whistle melody. The song is mellow, soothing, calming , dulcet, warm and relaxing in contrast to the background noises of people talking and walking. The musicians are buskers.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/rfQ94EXIpTc_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/rfQ94EXIpTc_seg2.wav,SASS,TF-MusicGen,FALSE
"Some big and bold percussion instruments, namely timpanis, are used in this piece and create a bold and magnetic atmosphere. There is an intricate piano melody that comes in after the rhythmic percussive intro. The song fits into the east asian part of the world.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/uknhELOFYmY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/uknhELOFYmY_seg2.wav,TF-MusicGen,SASS,FALSE
This song contains an acoustic piano playing a melody in the higher register playing mostly one note at a time. Celli is playing along the melody then changing into staccato strokes playing a melody in the low to high register. This song may be playing live during a dance scene in a musical.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/KeSbjmMeyrY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/KeSbjmMeyrY_seg2.wav,TF-MusicGen,SASS,FALSE
"This is an excerpt from a music show. There is a female voice narrating an event that took place. In the background, there is hip-hop music playing. A male vocal can be heard rapping. The melody is being played by a synth sound. There is a strong bass in the piece. The rhythm is played by the electronic drums. This piece could be used as an advertisement jingle for a sportswear or automobile company.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/NQXQsVawPhU_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/NQXQsVawPhU_seg2.wav,TF-MusicGen,SASS,FALSE
This audio clip features a tom roll followed by a descending slide on the bass. This is followed by the sound of two different calling bells one after the other. Four different voices call out numbers one through four in ascending order one after the other. This is followed by a pattern played on a drum machine. This song can be played at a DJ party.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/6iyinlZEgS4_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/6iyinlZEgS4_seg2.wav,SASS,TF-MusicGen,FALSE
This is the live performance of a pop music piece. It is an amateur recording. There are male vocals singing melodically. An electric guitar strums a chord for the ending of a song while the sounds of the cymbals can be heard from the acoustic drums. The cheers of the crowd can be heard even more than the music itself. This recording could be sampled for use in beat-making.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/qxWVr67g6yY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/qxWVr67g6yY_seg2.wav,TF-MusicGen,SASS,FALSE
"This clip features low quality audio. A synth plays the main melody. The bass plays the root notes of the chords. This is accompanied by programmed percussion playing a simple beat. A constant beep is heard in the foreground, which doubles in tempo at the end of the clip. The instruments cannot be heard clearly due to the beeping sound over the instruments.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/rNJ0C44bOac_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/rNJ0C44bOac_seg2.wav,SASS,TF-MusicGen,FALSE
"This is an acoustic comedic piece. The male vocalist is singing in a manner similar to a bard, telling us a story. He is also playing the melody on a ukulele at the same time. The tune is very simple and easygoing. The atmosphere is jovial. This could be used in the soundtrack of a comedy movie or in the background of a funny video.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/sfmAeijj5cM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/sfmAeijj5cM_seg2.wav,TF-MusicGen,SASS,FALSE
"This is a live recording. The audio quality is poor. We hear a string section with layers of violins that are playing a motif which sounds exciting, suspenseful, and thrilling. It immediately gets you feeling on edge.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/42xehaGoJbc_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/42xehaGoJbc_seg2.wav,SASS,TF-MusicGen,FALSE
This is a breakbeat piece. There is a groovy electronic drum beat providing the rhythmic structure. A medium pitched pad is playing a repeated theme. There is a synth bass in the background. Occasional string stab hits can be heard. This piece could fit well in the soundtracks of crime movies taking place in the city and car racing video games.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/9TkW1M_ZRr0_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/9TkW1M_ZRr0_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a live performance of a jazz song and it consists of a passionate female vocalist singing over groovy piano melody, saxophone melody, groovy bass, shimmering hi hats, punchy snare and soft kick hits. It sounds passionate, soulful and the recording is noisy and in mono.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/mFcHGbnNtSQ_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/mFcHGbnNtSQ_seg2.wav,TF-MusicGen,SASS,FALSE
"This song is a duet sung in a two part harmony in a foreign language. The tempo is slow with a male voice chanting a call to which the response is this melodious harmony. The song is soothing, calming, delicate, charming and melodic. This could possibly be a religious ritual.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/ppAT0f2YCyM_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/ppAT0f2YCyM_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a wide synth pad chord, followed by quiet buzzy sound. It sounds calming and relaxing - like something you would listen to in a yoga session.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/yG1bzzXDIak_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/yG1bzzXDIak_seg2.wav,TF-MusicGen,SASS,FALSE
A female singer sings this bluesy melody. The song is medium tempo with minimal guitar accompaniment and no other instrumentation. The song's medium tempo is very emotional and passionate. The song is a modern pop hit but with poor audio quality.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/B90BOtSOD2Q_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/B90BOtSOD2Q_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a mellow echoing synth pad keys playing. It sounds ambient, reverberant, but also relaxing and calming, like something you would put on while doing yoga or just trying to relax.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/y516mYOT_9c_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/y516mYOT_9c_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a rock song that consists of an electric guitar melody, smooth bass, shimmering shakers, snappy rimshots and soft male vocals singing over it. The recording is really noisy and in mono. It sounds cool, groovy and easygoing.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/hOSzGYKaJGE_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/hOSzGYKaJGE_seg2.wav,TF-MusicGen,SASS,FALSE
"This piece of audio contains a modern pop song with drums, effects panned to left and right, a female voice singing with delay before changing into a totally different song that sounds more like a fast paced country song with a synthesizer- melody; acoustic drums and a banjo playing a fast melody along. This recording is also full of voice samples, a tiger or lion roaring, a telephone ringing. According to all these sounds and fast paced changes, it can be assumed that this recording is best played at a comedic television show for kids.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/e57SBRbMXbI_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/e57SBRbMXbI_seg2.wav,SASS,TF-MusicGen,FALSE
"The Recording features a live performance of a classical song played on harpsichord. It is emotional, passionate and a bit spooky, as it sounds like a vampire theme song.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/vmVOWilkmOA_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/vmVOWilkmOA_seg2.wav,TF-MusicGen,SASS,FALSE
The Low Quality recording features a synth key melody. It sounds suspenseful and intense. The recording is noisy.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/Zmtw8tP-KFo_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/Zmtw8tP-KFo_seg2.wav,TF-MusicGen,SASS,FALSE
"This music is a western classical instrumental. The tempo is slow with a cello solo. The music is soft, rich, deep, mellow, euphonious, pensive, melancholic, emotional and sentimental.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/0nk7utNkHOY_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/0nk7utNkHOY_seg2.wav,SASS,TF-MusicGen,FALSE
"The low quality recording features a door opening, room tone ambience, clothes movement and chain rattle sound effects, followed by repetitive high pitched male chant, weird male chant, sudden, loud white noise layered with male scream. In the second part of the clip, there is a synth pad in the background. It sounds aggressive, loud, harsh and weird, almost like a parody clip.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/TWm0OilO0uw_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/TWm0OilO0uw_seg2.wav,TF-MusicGen,SASS,FALSE
This is a house music piece. There is a synth with a crisp sound playing the melody while a lot of turntable scratches can be heard in the background. An electronic drum beat with lots of snare beat repeat sounds provide the rhythm. The atmosphere is energetic and upbeat. This piece could be played at nightclubs or dance clubs.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/9PMoI31ncIs_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/9PMoI31ncIs_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a flat male vocal talking over an electro song that consists of a punchy ""4 on the floor"" kick pattern, short snare hit and offbeat shimmering hi hats. In the second part of the loop, the electro song is being scratched by a DJ. The recording is noisy and in mono.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/pnh_C1w4yGc_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/pnh_C1w4yGc_seg2.wav,TF-MusicGen,SASS,FALSE
This song contains acoustic drums playing a simple hip hop groove along with a e-bass and e-guitars playing a simple repeating line. A male voice with a deeper voice is rapping on top of it. The song may be playing while having a BBQ in the garden with your friends.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/Zq92ED3IvLQ_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/Zq92ED3IvLQ_seg2.wav,TF-MusicGen,SASS,FALSE
"A female singer sings this chanting vocals with backup singers in vocal harmony. The song is medium tempo with bell harmony, keyboard accompaniment, steady rhythm and a string pad harmony. The song is healing and a new age in nature.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/L_KkjB0Wt_Q_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/L_KkjB0Wt_Q_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a wide choir female vocals singing, while there is a flat male vocal talking over it. It sounds like a tutorial of sorts.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/aSyRV5j2zV4_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/aSyRV5j2zV4_seg2.wav,TF-MusicGen,SASS,FALSE
"This is the recording of a DJ performance. In the rhythmic background, the electronic drums are playing a simple yet groovy beat. The DJ is scratching the turntable rapidly over this track. The piece is danceable. It has a dirty mix. Parts of this piece can be used as turntable samples for a beat. It could also be used in the soundtrack of a show with a big city setting.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/Fa1c4qfBqzE_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/Fa1c4qfBqzE_seg2.wav,TF-MusicGen,SASS,FALSE
"This low quality audio features a male voice singing the main melody. This is accompanied by percussion playing a simple beat. The bass plays the root notes of the chords. Strings play staccato notes in the background and at the end of the bar, the notes are allowed to ring. A synth plays chords using an organ voice. This voice plays chords in the background. At the end, the synth plays the sound of two bells playing a descending sequence. This song can be played in a romantic movie.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/HkCYA4ax4jI_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/HkCYA4ax4jI_seg2.wav,TF-MusicGen,SASS,FALSE
This is a shofar being played. Two notes are being played. The first note is short and the second note is played at a higher pitch and for a longer duration. There is no voice in this song. There are no other instruments in this song. This song can be played in a movie scene where soldiers are given instructions for a battle.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/L3d4ajg0bhk_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/L3d4ajg0bhk_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a live performance of a pop song that contains flat male vocals talking on a microphone over a song played on playback and some crowd cheering noises. The song consists of a ""4 on the floor"" kick pattern, energetic cymbals, groovy synth bass, claps and synth lead melody. It sounds happy, joyful and exciting.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/mB2FAS0DNkk_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/mB2FAS0DNkk_seg2.wav,TF-MusicGen,SASS,FALSE
"The low quality recording features a folk song being covered by passionate male vocal and groovy acoustic guitar melody. It sounds uplifting and a bit harsh, muddy and unbalanced as far as the stereo image goes.",https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/_RLsXrr0fQo_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/_RLsXrr0fQo_seg2.wav,SASS,TF-MusicGen,FALSE
This is a live performance of an R&B music piece. There is a female vocalist singing melodically in the lead. Three female supporting vocals can be heard singing in the back. The melody is being played by the piano while the bass guitar plays a groovy bass line. The rhythm is provided by an acoustic drum beat. The atmosphere is sentimental. This piece can be used in the soundtrack of a romance movie involving a couple in a long distance relationship.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/3u9OO9Og0Gc_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/3u9OO9Og0Gc_seg2.wav,SASS,TF-MusicGen,FALSE
The low quality recording features a saxophone scale run melody. The recording is noisy and in mono.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/D3f5VIJYR7M_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/D3f5VIJYR7M_seg2.wav,SASS,TF-MusicGen,FALSE
This is an instrumental hip-hop music piece. It is meant to be used as a rap beat. There is a fuzzy synth bass playing a groovy bass line with a mellow sounding keyboard playing alongside it. There is a loud electronic drum beat in the rhythmic background. This piece has a crisp and urban atmosphere. It could either be used as a rap beat or it could take place in the soundtrack of a crime movie/TV show with a modern city setting.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/Vfcfj4OIJXE_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/Vfcfj4OIJXE_seg2.wav,TF-MusicGen,SASS,FALSE
An acoustic drum is playing a hiphop/funk groove along with a bassline. One e-guitar is strumming a funk chord while the other guitar is playing a melody sequence and then the other guitar responds with a chord. The male voice sings in the mid to high range and at the end of the song a keyboard is playing a chord with a string sound. This song may be playing at home cleaning the house.,https://YOUR_USERNAME.github.io/listening-study-audio/clips/TF_MusicGen/DysXetu2I0E_seg2.wav,https://YOUR_USERNAME.github.io/listening-study-audio/clips/SASS/DysXetu2I0E_seg2.wav,TF-MusicGen,SASS,FALSE
